Vin,Vsignal_max,Vsignal_min,average
5,3.421,1.122,8
4.5,3.32,1.35,
4,3.26,1.44,
3.5,3.11,1.477,
3,3.13,1.62,
2.5,2.95,1.62,
2,2.94,1.83,
1.5,2.79,1.92,
1,2.69,2,
1.5,2.78,1.93,
2,2.95,1.79,
2.5,3.03,1.62,
3,3.21,1.75,
3.5,3.19,1.6,
4,3.36,1.53,
4.5,3.45,1.47,
5,3.61,1.39,
