x-axis,1,2,3
second,Volt,Volt,Volt
-8.58000E-03,+15.70001E-03,+3.43799973E+00,-62.50000E-03
-8.56000E-03,+6.32501E-03,+3.62549973E+00,-0.0E+00
-8.54000E-03,-3.04999E-03,+3.68799973E+00,+0.0E+00
-8.52000E-03,-18.67499E-03,+3.81299973E+00,-62.50000E-03
-8.50000E-03,-31.17499E-03,+4.00049973E+00,-0.0E+00
-8.48000E-03,-37.42499E-03,+4.18799973E+00,+0.0E+00
-8.46000E-03,-56.17500E-03,+4.37549973E+00,+0.0E+00
-8.44000E-03,-68.67500E-03,+4.56299973E+00,+0.0E+00
-8.42000E-03,-71.80000E-03,+4.81299973E+00,+0.0E+00
-8.40000E-03,-84.30000E-03,+5.00049973E+00,+0.0E+00
-8.38000E-03,-90.55000E-03,+5.25049973E+00,+0.0E+00
-8.36000E-03,-90.55000E-03,+5.50049973E+00,+62.50000E-03
-8.34000E-03,-103.05000E-03,+5.68799973E+00,+0.0E+00
-8.32000E-03,-106.17500E-03,+5.81299973E+00,-62.50000E-03
-8.30000E-03,-106.17500E-03,+6.06299973E+00,-0.0E+00
-8.28000E-03,-109.30000E-03,+6.25049973E+00,+0.0E+00
-8.26000E-03,-106.17500E-03,+6.37549973E+00,+0.0E+00
-8.24000E-03,-103.05000E-03,+6.50049973E+00,+0.0E+00
-8.22000E-03,-99.92500E-03,+6.56299973E+00,+0.0E+00
-8.20000E-03,-93.67500E-03,+6.75049973E+00,-62.50000E-03
-8.18000E-03,-84.30000E-03,+6.81299973E+00,-0.0E+00
-8.16000E-03,-81.17500E-03,+6.81299973E+00,+0.0E+00
-8.14000E-03,-71.80000E-03,+6.87549973E+00,+0.0E+00
-8.12000E-03,-59.30000E-03,+6.87549973E+00,+62.50000E-03
-8.10000E-03,-46.80000E-03,+6.87549973E+00,-62.50000E-03
-8.08000E-03,-37.42499E-03,+6.81299973E+00,-62.50000E-03
-8.06000E-03,-24.92499E-03,+6.81299973E+00,-0.0E+00
-8.04000E-03,-12.42499E-03,+6.62549973E+00,+0.0E+00
-8.02000E-03,+75.01E-06,+6.43799973E+00,+0.0E+00
-8.00000E-03,+12.57501E-03,+6.31299973E+00,+0.0E+00
-7.98000E-03,+28.20001E-03,+6.12549973E+00,+0.0E+00
-7.96000E-03,+37.57501E-03,+5.87549973E+00,+0.0E+00
-7.94000E-03,+46.95001E-03,+5.75049973E+00,+0.0E+00
-7.92000E-03,+59.45001E-03,+5.50049973E+00,+0.0E+00
-7.90000E-03,+71.95001E-03,+5.25049973E+00,+0.0E+00
-7.88000E-03,+75.07501E-03,+5.06299973E+00,+62.50000E-03
-7.86000E-03,+81.32501E-03,+4.81299973E+00,+0.0E+00
-7.84000E-03,+87.57501E-03,+4.56299973E+00,-62.50000E-03
-7.82000E-03,+90.70001E-03,+4.43799973E+00,-0.0E+00
-7.80000E-03,+90.70001E-03,+4.18799973E+00,+62.50000E-03
-7.78000E-03,+96.95001E-03,+4.00049973E+00,+0.0E+00
-7.76000E-03,+93.82501E-03,+3.87549973E+00,-62.50000E-03
-7.74000E-03,+90.70001E-03,+3.75049973E+00,-0.0E+00
-7.72000E-03,+84.45001E-03,+3.56299973E+00,+0.0E+00
-7.70000E-03,+78.20001E-03,+3.50049973E+00,+0.0E+00
-7.68000E-03,+71.95001E-03,+3.43799973E+00,-62.50000E-03
-7.66000E-03,+65.70001E-03,+3.37549973E+00,-62.50000E-03
-7.64000E-03,+56.32501E-03,+3.31299973E+00,-0.0E+00
-7.62000E-03,+43.82501E-03,+3.31299973E+00,+0.0E+00
-7.60000E-03,+34.45001E-03,+3.37549973E+00,+0.0E+00
-7.58000E-03,+21.95001E-03,+3.50049973E+00,+0.0E+00
-7.56000E-03,+9.45001E-03,+3.50049973E+00,+0.0E+00
-7.54000E-03,-6.17499E-03,+3.62549973E+00,+62.50000E-03
-7.52000E-03,-18.67499E-03,+3.81299973E+00,+0.0E+00
-7.50000E-03,-28.04999E-03,+3.93799973E+00,+0.0E+00
-7.48000E-03,-40.54999E-03,+4.12549973E+00,+0.0E+00
